sample-id	forward-absolute-filepath	reverse-absolute-filepath	var1	var2
S18	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/10N_S18_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/10N_S18_L001_R2_001.fastq.gz	10	N
S36	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/10R_S36_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/10R_S36_L001_R2_001.fastq.gz	10	R
S1	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/1L_S1_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/1L_S1_L001_R2_001.fastq.gz	1	L
S27	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/1N_S27_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/1N_S27_L001_R2_001.fastq.gz	1	N
S46	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/1R_S46_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/1R_S46_L001_R2_001.fastq.gz	1	R
S2	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/2L_S2_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/2L_S2_L001_R2_001.fastq.gz	2	L
S28	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/2N_S28_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/2N_S28_L001_R2_001.fastq.gz	2	N
S47	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/2R_S47_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/2R_S47_L001_R2_001.fastq.gz	2	R
S3	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/3L_S3_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/3L_S3_L001_R2_001.fastq.gz	3	L
S29	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/3N_S29_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/3N_S29_L001_R2_001.fastq.gz	3	N
S48	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/3R_S48_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/3R_S48_L001_R2_001.fastq.gz	3	R
S4	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/4L_S4_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/4L_S4_L001_R2_001.fastq.gz	4	L
S30	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/4N_S30_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/4N_S30_L001_R2_001.fastq.gz	4	N
S25	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/4R_S25_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/4R_S25_L001_R2_001.fastq.gz	4	R
S5	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/5L_S5_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/5L_S5_L001_R2_001.fastq.gz	5	L
S45	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/5N_S45_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/5N_S45_L001_R2_001.fastq.gz	5	N
S6	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/6L_S6_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/6L_S6_L001_R2_001.fastq.gz	6	L
S33	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/6N_S33_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/6N_S33_L001_R2_001.fastq.gz	6	N
S26	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/6R_S26_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/6R_S26_L001_R2_001.fastq.gz	6	R
S13	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/7L_S13_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/7L_S13_L001_R2_001.fastq.gz	7	L
S34	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/7N_S34_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/7N_S34_L001_R2_001.fastq.gz	7	N
S49	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/7R_S49_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/7R_S49_L001_R2_001.fastq.gz	7	R
S14	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/8L_S14_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/8L_S14_L001_R2_001.fastq.gz	8	L
S16	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/8N_S16_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/8N_S16_L001_R2_001.fastq.gz	8	N
S50	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/8R_S50_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/8R_S50_L001_R2_001.fastq.gz	8	R
S15	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/9L_S15_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/9L_S15_L001_R2_001.fastq.gz	9	L
S17	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/9N_S17_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/9N_S17_L001_R2_001.fastq.gz	9	N
S35	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/9R_S35_L001_R1_001.fastq.gz	/media/Data1/Bartosz_Fotchki_16S_Bergamot/Fastq/9R_S35_L001_R2_001.fastq.gz	9	R
